Date	Price	Open	High	Low	Vol.	Change %
2019-04-23	1291.20	1295.20	1296.20	1286.00	2.09K	0.00
2019-04-22	1295.80	1295.80	1299.50	1294.10	0.23K	0.01
2019-04-19	1277.90	1277.90	1277.90	1277.90	-	-0.01
2019-04-18	1294.10	1293.70	1296.90	1291.00	1.15K	0.00
2019-04-17	1294.70	1297.40	1299.60	1293.50	2.23K	0.00
2019-04-16	1295.20	1309.50	1309.50	1293.90	3.13K	-0.01
2019-04-15	1309.40	1312.30	1312.30	1303.60	2.82K	0.00
2019-04-12	1313.40	1314.20	1316.90	1312.10	2.37K	0.00
2019-04-11	1311.30	1329.20	1329.20	1311.00	1.72K	-0.02
2019-04-10	1331.90	1326.50	1332.20	1322.80	2.08K	0.00
2019-04-09	1326.30	1320.00	1328.30	1320.00	2.72K	0.00
2019-04-08	1319.90	1313.70	1325.40	1313.70	1.26K	0.00
2019-04-05	1313.70	1315.00	1315.00	1306.60	1.64K	0.00
2019-04-04	1312.20	1313.10	1316.40	1302.80	2.29K	0.00
2019-04-03	1313.30	1314.00	1316.60	1310.60	1.44K	0.00
2019-04-02	1313.40	1310.70	1314.70	1308.00	1.41K	0.00
2019-04-01	1312.40	1314.40	1319.30	1309.50	0.77K	0.00
2019-03-29	1316.50	1314.00	1322.30	1310.00	0.83K	0.00
2019-03-28	1313.30	1332.50	1334.70	1311.40	2.56K	-0.02
2019-03-27	1334.70	1341.10	1342.80	1331.80	1.71K	0.00
2019-03-26	1339.20	1345.20	1345.60	1336.60	1.83K	-0.01
2019-03-25	1346.70	1335.30	1348.40	1335.30	2.50K	0.01
2019-03-22	1336.50	1333.00	1338.80	1331.70	3.94K	0.00
2019-03-21	1331.60	1338.00	1344.20	1327.80	1.30K	0.00
2019-03-20	1325.80	1330.90	1341.10	1323.00	2.96K	0.00
2019-03-19	1330.90	1328.00	1334.70	1328.00	1.31K	0.00
2019-03-18	1325.80	1323.10	1330.40	1323.00	1.18K	0.00
2019-03-15	1327.10	1320.30	1330.10	1320.00	0.88K	0.01
2019-03-14	1319.40	1332.10	1332.10	1317.20	1.46K	-0.01
2019-03-13	1333.80	1327.20	1336.00	1327.20	2.00K	0.01
2019-03-12	1322.40	1319.10	1326.30	1319.00	1.33K	0.01
2019-03-11	1315.70	1323.50	1323.50	1315.40	1.36K	-0.01
2019-03-08	1324.30	1312.30	1325.70	1312.30	2.40K	0.01
2019-03-07	1310.70	1312.40	1312.90	1306.70	2.36K	0.00
2019-03-06	1312.20	1314.00	1316.10	1309.60	1.10K	0.00
2019-03-05	1309.10	1311.80	1314.10	1306.90	1.24K	0.00
2019-03-04	1311.90	1320.60	1322.30	1308.40	1.76K	-0.01
2019-03-01	1323.80	1339.10	1340.60	1316.30	2.18K	-0.01
2019-02-28	1341.00	1347.60	1353.40	1338.90	0.61K	0.00
2019-02-27	1346.00	1356.00	1356.00	1344.30	0.88K	-0.01
2019-02-26	1353.40	1356.10	1357.00	1350.70	0.17K	0.00
2019-02-25	1354.20	1357.80	1359.00	1352.40	0.55K	0.00
2019-02-22	1357.60	1351.30	1359.80	1349.10	0.99K	0.00
2019-02-21	1352.40	1367.90	1368.40	1351.20	0.86K	-0.01
2019-02-20	1372.50	1371.30	1374.30	1366.30	1.67K	0.00
2019-02-19	1369.60	1349.50	1369.60	1349.00	2.60K	0.03
2019-02-18	1329.55	1324.35	1330.75	1324.05	-	0.00
2019-02-17	1324.25	1324.65	1324.95	1323.85	-	-0.02
2019-02-15	1346.80	1340.40	1350.00	1340.40	0.85K	0.01
2019-02-14	1338.70	1337.00	1342.00	1329.90	0.81K	0.00
2019-02-13	1340.10	1338.60	1345.20	1333.20	1.88K	0.00
2019-02-12	1338.90	1337.00	1342.10	1336.80	1.07K	0.00
2019-02-11	1337.00	1342.50	1342.70	1333.00	1.26K	-0.01
2019-02-08	1343.70	1337.90	1344.20	1337.90	0.33K	0.00
2019-02-07	1339.40	1335.60	1340.70	1332.00	1.66K	0.00
2019-02-06	1339.70	1344.90	1344.90	1335.00	0.77K	0.00
2019-02-05	1344.60	1343.40	1345.70	1340.80	1.25K	0.00
2019-02-04	1344.30	1346.40	1346.40	1338.00	0.53K	0.00
2019-02-01	1347.10	1349.80	1352.20	1345.90	0.75K	0.00
2019-01-31	1350.00	1350.60	1354.60	1347.00	2.65K	0.01
2019-01-30	1340.50	1341.30	1353.20	1340.20	1.91K	0.00
2019-01-29	1340.20	1334.20	1341.70	1333.10	9.30K	0.00
2019-01-28	1334.50	1331.90	1334.70	1329.30	0.92K	0.00
2019-01-25	1329.10	1313.10	1333.20	1312.30	0.36K	0.01
2019-01-24	1310.80	1314.00	1314.00	1308.50	0.40K	0.00
2019-01-23	1315.20	1315.00	1316.30	1309.90	0.92K	0.00
2019-01-22	1314.20	1311.10	1315.80	1308.00	1.37K	0.03
2019-01-21	1279.05	1281.95	1282.95	1276.15	-	0.00
2019-01-20	1282.05	1281.30	1282.70	1280.50	-	-0.02
2019-01-18	1313.80	1322.00	1322.10	1312.00	0.29K	-0.01
2019-01-17	1323.60	1323.50	1323.50	1319.90	0.48K	0.00
2019-01-16	1325.10	1321.30	1326.00	1321.30	1.12K	0.00
2019-01-15	1319.70	1324.70	1326.00	1318.10	0.94K	0.00
2019-01-14	1323.30	1323.10	1327.10	1321.00	1.32K	0.00
2019-01-11	1321.30	1319.30	1325.80	1319.00	0.53K	0.00
2019-01-10	1319.20	1325.00	1328.00	1319.10	0.55K	0.00
2019-01-09	1323.50	1314.30	1326.00	1312.40	0.58K	0.00
2019-01-08	1317.40	1321.60	1321.60	1312.90	1.01K	0.00
2019-01-07	1321.50	1317.60	1326.80	1317.60	0.90K	0.00
2019-01-04	1317.40	1328.00	1330.80	1309.60	0.92K	-0.01
2019-01-03	1326.10	1318.70	1327.00	1318.70	1.70K	0.01
2019-01-02	1315.30	1319.90	1320.60	1315.00	0.80K	0.02
2019-01-01	1283.35	1284.70	1284.75	1282.85	-	-0.02
